sample no_occurences quality_scores
total_map_quality.txt X1097T 13056
total_map_quality.txt X1097T 18273
total_map_quality.txt X1097T 20493
total_map_quality.txt X1097T 32858
total_map_quality.txt X1097T 6170
total_map_quality.txt X1097T 43608
total_map_quality.txt X1097T 61964
total_map_quality.txt X1097T 75270
total_map_quality.txt X1097T 67659
total_map_quality.txt X1097T 125519
total_map_quality.txt X1097T 242335
total_map_quality.txt X1097T 9147
total_map_quality.txt X1097T 806659
total_map_quality.txt X1097T 6071
total_map_quality.txt X1097T 5393
total_map_quality.txt X1097T 45414
total_map_quality.txt X1097T 14741
total_map_quality.txt X1097T 16944
total_map_quality.txt X1097T 3126
total_map_quality.txt X1097T 47382
total_map_quality.txt X1097T 6100
total_map_quality.txt X1097T 6700
total_map_quality.txt X1097T 13635
total_map_quality.txt X1097T 21488
total_map_quality.txt X1097T 6349
total_map_quality.txt X1097T 60010
total_map_quality.txt X1097T 10637
total_map_quality.txt X1097T 972792
total_map_quality.txt X1097T 12728
total_map_quality.txt X1097T 42541
total_map_quality.txt X1097T 34653
total_map_quality.txt X1097T 28126
total_map_quality.txt X1097T 103042
total_map_quality.txt X1097T 47498
total_map_quality.txt X1097T 114810
total_map_quality.txt X1097T 161601
total_map_quality.txt X1097T 153511
total_map_quality.txt X1097T 10744
total_map_quality.txt X1097T 676611
total_map_quality.txt X1097T 46965
total_map_quality.txt X1097T 66239
total_map_quality.txt X1097T 21952
total_map_quality.txt X1097T 44963
total_map_quality.txt X1097T 85877
total_map_quality.txt X1097T 8545
total_map_quality.txt X1097T 149798
total_map_quality.txt X1097T 9774
total_map_quality.txt X1097T 18169
total_map_quality.txt X1097T 17077
total_map_quality.txt X1097T 107738884
total_map_quality.txt X1097T 25677
total_map_quality.txt X1097T 11632
total_map_quality.txt X1097T 51794
total_map_quality.txt X1098N 4775060
total_map_quality.txt X1098N 21196
total_map_quality.txt X1098N 27330
total_map_quality.txt X1098N 8278
total_map_quality.txt X1098N 17980
total_map_quality.txt X1098N 24375
total_map_quality.txt X1098N 7270
total_map_quality.txt X1098N 43642
total_map_quality.txt X1098N 12334
total_map_quality.txt X1098N 18291
total_map_quality.txt X1098N 19777
total_map_quality.txt X1098N 32268
total_map_quality.txt X1098N 5793
total_map_quality.txt X1098N 40929
total_map_quality.txt X1098N 60295
total_map_quality.txt X1098N 72462
total_map_quality.txt X1098N 68129
total_map_quality.txt X1098N 130793
total_map_quality.txt X1098N 259175
total_map_quality.txt X1098N 8859
total_map_quality.txt X1098N 783757
total_map_quality.txt X1098N 5627
total_map_quality.txt X1098N 5438
total_map_quality.txt X1098N 44155
total_map_quality.txt X1098N 14346
total_map_quality.txt X1098N 16878
total_map_quality.txt X1098N 2845
total_map_quality.txt X1098N 45283
total_map_quality.txt X1098N 6073
total_map_quality.txt X1098N 6434
total_map_quality.txt X1098N 13549
total_map_quality.txt X1098N 21779
total_map_quality.txt X1098N 5579
total_map_quality.txt X1098N 57633
total_map_quality.txt X1098N 9747
total_map_quality.txt X1098N 925147
total_map_quality.txt X1098N 12238
total_map_quality.txt X1098N 40535
total_map_quality.txt X1098N 31487
total_map_quality.txt X1098N 28609
total_map_quality.txt X1098N 90244
total_map_quality.txt X1098N 46824
total_map_quality.txt X1098N 114971
total_map_quality.txt X1098N 157156
total_map_quality.txt X1098N 159238
total_map_quality.txt X1098N 10623
total_map_quality.txt X1098N 625899
total_map_quality.txt X1098N 40093
total_map_quality.txt X1098N 62450
total_map_quality.txt X1098N 21494
total_map_quality.txt X1098N 42236
total_map_quality.txt X1098N 82584
total_map_quality.txt X1098N 8214
total_map_quality.txt X1098N 141954
total_map_quality.txt X1098N 10663
total_map_quality.txt X1098N 18297
total_map_quality.txt X1098N 17992
total_map_quality.txt X1098N 98690388
total_map_quality.txt X1098N 26388
total_map_quality.txt X1098N 12332
total_map_quality.txt X1098N 52231
total_map_quality.txt X1098T 4369039
total_map_quality.txt X1098T 22408
total_map_quality.txt X1098T 25684
total_map_quality.txt X1098T 8329
total_map_quality.txt X1098T 18488
total_map_quality.txt X1098T 25569
total_map_quality.txt X1098T 7958
total_map_quality.txt X1098T 43394
total_map_quality.txt X1098T 11881
total_map_quality.txt X1098T 18603
total_map_quality.txt X1098T 20644
total_map_quality.txt X1098T 35495
total_map_quality.txt X1098T 5884
total_map_quality.txt X1098T 43617
total_map_quality.txt X1098T 60251
total_map_quality.txt X1098T 70668
total_map_quality.txt X1098T 66823
total_map_quality.txt X1098T 132123
total_map_quality.txt X1098T 269977
total_map_quality.txt X1098T 9581
total_map_quality.txt X1098T 767468
total_map_quality.txt X1098T 5814
total_map_quality.txt X1098T 5426
total_map_quality.txt X1098T 44044
total_map_quality.txt X1098T 15064
total_map_quality.txt X1098T 17597
total_map_quality.txt X1098T 3298
total_map_quality.txt X1098T 45941
total_map_quality.txt X1098T 6117
total_map_quality.txt X1098T 6347
total_map_quality.txt X1098T 12908
total_map_quality.txt X1098T 22469
total_map_quality.txt X1098T 6358
total_map_quality.txt X1098T 57238
total_map_quality.txt X1098T 9456
total_map_quality.txt X1098T 930984
total_map_quality.txt X1098T 12460
total_map_quality.txt X1098T 40452
total_map_quality.txt X1098T 33473
total_map_quality.txt X1098T 27996
total_map_quality.txt X1098T 94058
total_map_quality.txt X1098T 45559
total_map_quality.txt X1098T 114508
total_map_quality.txt X1098T 163043
total_map_quality.txt X1098T 155267
total_map_quality.txt X1098T 10276
total_map_quality.txt X1098T 622757
total_map_quality.txt X1098T 49066
total_map_quality.txt X1098T 62154
total_map_quality.txt X1098T 21063
total_map_quality.txt X1098T 54112
total_map_quality.txt X1098T 84922
total_map_quality.txt X1098T 8888
total_map_quality.txt X1098T 147752
total_map_quality.txt X1098T 9796
total_map_quality.txt X1098T 19192
total_map_quality.txt X1098T 17654
total_map_quality.txt X1098T 97864755
total_map_quality.txt X1098T 27228
total_map_quality.txt X1098T 12871
total_map_quality.txt X1098T 51593
total_map_quality.txt X1159T 5178429
total_map_quality.txt X1159T 23336
total_map_quality.txt X1159T 29337
total_map_quality.txt X1159T 10000
total_map_quality.txt X1159T 19832
total_map_quality.txt X1159T 27367
total_map_quality.txt X1159T 9042
total_map_quality.txt X1159T 47649
total_map_quality.txt X1159T 15016
total_map_quality.txt X1159T 23950
total_map_quality.txt X1159T 23453
total_map_quality.txt X1159T 36652
total_map_quality.txt X1159T 6252
total_map_quality.txt X1159T 45311
total_map_quality.txt X1159T 65970
total_map_quality.txt X1159T 83148
total_map_quality.txt X1159T 76480
total_map_quality.txt X1159T 146795
total_map_quality.txt X1159T 282205
total_map_quality.txt X1159T 9578
total_map_quality.txt X1159T 871771
total_map_quality.txt X1159T 6642
total_map_quality.txt X1159T 6233
total_map_quality.txt X1159T 48737
total_map_quality.txt X1159T 15641
total_map_quality.txt X1159T 18846
total_map_quality.txt X1159T 3457
total_map_quality.txt X1159T 50384
total_map_quality.txt X1159T 6487
total_map_quality.txt X1159T 7116
total_map_quality.txt X1159T 14430
total_map_quality.txt X1159T 24443
total_map_quality.txt X1159T 6452
total_map_quality.txt X1159T 63691
total_map_quality.txt X1159T 11127
total_map_quality.txt X1159T 1031979
total_map_quality.txt X1159T 13832
total_map_quality.txt X1159T 45570
total_map_quality.txt X1159T 37676
total_map_quality.txt X1159T 29991
total_map_quality.txt X1159T 107706
total_map_quality.txt X1159T 50695
total_map_quality.txt X1159T 126016
total_map_quality.txt X1159T 182973
total_map_quality.txt X1159T 163115
total_map_quality.txt X1159T 11476
total_map_quality.txt X1159T 733528
total_map_quality.txt X1159T 47460
total_map_quality.txt X1159T 71472
total_map_quality.txt X1159T 22657
total_map_quality.txt X1159T 45529
total_map_quality.txt X1159T 93499
total_map_quality.txt X1159T 8402
total_map_quality.txt X1159T 158725
total_map_quality.txt X1159T 9893
